,Movie_title,Audience_review,Critic_review,Runtime,Distributor,Covered,Actors,Producer,Cinematography,Editing,Music
2034,Maggie's Plan,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",98.0,1,1.0,0,0,0,0,0
2035,The Meddler,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",100.0,1,1.0,0,0,0,0,0
2037,Love & Friendship,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",93.0,0,1.0,1,0,0,0,0
2041,The Angry Birds Movie,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",97.0,0,0.0,0,0,0,0,1
2045,The Nice Guys,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",116.0,1,1.0,0,0,1,0,0
2046,The Huntsman: Winter's War,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",114.0,0,0.0,1,1,1,1,1
2047,God's Not Dead 2,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",120.0,0,1.0,0,0,0,0,0
2049,Parched,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",118.0,0,0.0,1,0,0,0,0
2057,Songs My Brothers Taught Me,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",98.0,0,1.0,0,0,0,0,0
2058,Lazer Team,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",102.0,0,1.0,1,0,0,0,0
2060,Barbershop: The Next Cut,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",112.0,1,1.0,0,0,0,0,0
2062,The Lobster,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",118.0,0,1.0,0,0,0,0,0
2064,Hardcore Henry,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",96.0,0,1.0,0,0,0,0,0
2065,Sing Street,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",106.0,0,1.0,0,0,1,0,0
2068,Batman v Superman: Dawn of Justice,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",151.0,1,1.0,0,0,0,0,1
2069,The Divergent Series: Allegiant,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",121.0,0,0.0,1,0,0,0,0
2070,I Am Wrath,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",92.0,0,0.0,0,0,0,1,0
2073,The Russian Woodpecker,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",82.0,0,1.0,0,0,0,0,0
2076,Elvis & Nixon,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",86.0,0,1.0,0,0,1,0,0
2082,Kung Fu Panda 3,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",95.0,1,0.0,1,0,0,1,1
2083,Term Life,"0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",93.0,0,1.0,1,0,0,0,0
2091,"Rabin, the Last Day","0       22
1       24
2       81
3       68
4       44
5       68
6       71
7       31
8       48
9       81
10      73
11      77
12      81
13      89
14      38
15      47
16      43
17      44
18      64
19      64
20      61
21      66
22      47
23      62
24      73
25      45
26      91
27      54
28      73
29      69
        ..
1953    19
1954    62
1955    88
1956    84
1957    44
1958    23
1959    53
1960    73
1961    83
1962    42
1963    78
1964    68
1965    40
1966    55
1967    63
1968    83
1969    50
1970    55
1971    42
1972    74
1973    61
1974    79
1975    28
1976    95
1977    47
1978    80
1979    66
1980    66
1981    34
1982    33
Name: Audience_review, Length: 1983, dtype: int64","0        20
1        15
2        99
3        12
4        43
5        53
6        83
7         9
8        36
9       100
10       93
11       27
12       80
13       91
14       40
15       37
16       74
17       63
18       46
19       78
20      100
21       91
22       67
23       94
24       81
25       79
26       96
27       97
28       91
29       93
       ... 
1953     33
1954     64
1955     99
1956     85
1957     18
1958     34
1959     31
1960     83
1961     72
1962     56
1963     50
1964     65
1965     33
1966     80
1967     94
1968     64
1969    100
1970     66
1971     77
1972      0
1973    100
1974     50
1975     43
1976    100
1977     24
1978     90
1979      0
1980     71
1981     30
1982     64
Name: Critic_review, Length: 1983, dtype: int64",153.0,0,0.0,0,0,0,0,0
